,bbox,location,avg_sentiment,count
133,"[145.670474464, -35.9264785855, 145.709029888, -35.888837394]","Barooga, New South Wales",-0.16216216216216217,1
134,"[145.67390496, -37.7696013955, 145.722483008, -37.737751851]","Warburton, Victoria",-0.09808612440191387,2
135,"[145.684996192, -37.20530361, 145.724474016, -37.179496221]","Alexandra, Victoria",0.27930242916366876,3
136,"[145.805420096, -41.092073505, 145.985166976, -41.0297944945]","Burnie - Somerset, Tasmania",-0.17857142857142855,2
137,"[145.8103408, -38.1565230125, 145.884102112, -38.094319001]","Drouin, Victoria",-0.10344827586206896,1
138,"[145.900671488, -38.1902832185, 145.961679296, -38.1376564165]","Warragul, Victoria",-0.016138763197586725,5
139,"[145.931007008, -36.0408711525, 146.067543712, -35.991747751]","Yarrawonga, Victoria",-0.07061998925815464,28
140,"[145.943916736, -36.582685111, 146.032863136, -36.51787728]","Benalla, Victoria",0.06244579533941237,5
141,"[145.997414016, -34.3141580015, 146.101738432, -34.233153994]","Griffith, New South Wales",-0.2631578947368421,1
142,"[146.02245984, -37.33917804, 146.22940908, -37.20294801]","Jamieson, Victoria",0.030303030303030304,1
143,"[146.087925504, -17.837112855, 146.101106048, -17.8277971245]","Bingil Bay, Queensland",0.05978557504873294,5
144,"[146.170368, -39.136581, 146.48915916, -38.77800597]","Wilsons Promontory, Victoria",0.047619047619047616,1
145,"[146.222263072, -38.201049238, 146.323284864, -38.157598547]","Moe - Newborough, Victoria",-0.09722222222222224,2
146,"[146.263270016, -36.406416001, 146.349300992, -36.302279575]","Wangaratta, Victoria",0.0,1
147,"[146.315949376, -41.2447841415, 146.3873936, -41.1580534405]","Devonport, Tasmania",-0.07407407407407407,1
148,"[146.339749952, -36.0510606935, 146.411193952, -35.968301739]","Corowa, New South Wales",-0.052661522874288824,5
149,"[146.39548, -37.1648950035, 146.49274, -37.1089510035]","Mount Buller, Victoria",0.0,1
150,"[146.444362656, -36.0749107455, 146.474223008, -36.0423027565]","Rutherglen, Victoria",-0.0680029273052529,5
151,"[146.465649824, -38.224695716, 146.578499008, -38.1750789935]","Traralgon, Victoria",0.009627664800078593,9
152,"[146.48258592, -42.86050704, 146.82938904, -42.68407698]","Styx, Tasmania",-0.07692307692307693,1
153,"[146.644110208, -19.4133283395, 146.866364, -19.180276014]","Townsville, Queensland",-0.0020818648280907966,106
154,"[146.712044896, -36.5984309975, 146.755407008, -36.538333766]","Myrtleford, Victoria",-0.034482758620689655,1
155,"[146.76267816, -41.57815797, 146.89154592, -41.422779]","Westbury, Tasmania",0.07317073170731707,1
156,"[146.802240768, -41.2107007405, 146.832249568, -41.1854886445]","Beaconsfield, Tasmania",0.11764705882352941,1
157,"[146.818798496, -36.1604021685, 146.959764128, -36.072883645]","Wodonga, Victoria",-0.0046433025714303425,7
158,"[146.838072992, -19.166838021, 146.85864912, -19.1431395025]","Nelly Bay, Queensland",0.07142857142857142,1
159,"[146.873233568, -36.1159894405, 147.019248032, -36.0147374605]","Albury, New South Wales",0.02211670382096447,9
160,"[146.92076752, -41.6550619345, 146.951877152, -41.645940935]","Bracknell, Tasmania",0.0,1
161,"[146.926533312, -36.7509869925, 147.000029088, -36.7064990065]","Bright, Victoria",0.0,2
162,"[146.944508928, -41.328896815, 146.983012992, -41.295769013]","Lanena - Blackwall, Tasmania",0.017699048762219834,6
163,"[146.9445104, -41.297021574, 146.97890736, -41.2690509985]","Gravelly Beach, Tasmania",-0.040257648953301126,3
164,"[147.000160608, -43.099148014, 147.017886272, -43.079406331]","Franklin, Tasmania",0.09090909090909091,1
165,"[147.038979456, -38.1470364715, 147.101435776, -38.0770308065]","Sale, Victoria",0.006131064057893326,8
166,"[147.053962432, -36.9068036495, 147.077782016, -36.882239997]","Harrietville, Victoria",0.22727272727272727,1
167,"[147.063362336, -43.1702097885, 147.095672, -43.149962704]","Cygnet, Tasmania",0.0816219085484453,13
168,"[147.063901824, -41.5026093915, 147.209028928, -41.366881977]","Launceston, Tasmania",0.016364806892982437,26
169,"[147.133660416, -43.014122643, 147.613383232, -42.655375527]","Hobart, Tasmania",0.008362281974674195,115
170,"[147.236733888, -42.953444752, 147.289906112, -42.914582431]","Fern Tree, Tasmania",0.08823529411764706,2
171,"[147.304038624, -35.187975032, 147.424035232, -35.0881893435]","Wagga Wagga, New South Wales",-0.03676487181182516,9
172,"[147.342861344, -35.0844753575, 147.363966496, -35.046804418]","Estella, New South Wales",0.10555093555093556,5
173,"[147.376221696, -19.6044829935, 147.427962624, -19.5412209485]","Ayr, Queensland",0.08333333333333333,1
174,"[147.384615968, -19.689381991, 147.443000992, -19.629653039]","Home Hill, Queensland",0.0,1
175,"[147.431142304, -42.7415645665, 147.448755744, -42.729354326]","Richmond (Tas.), Tasmania",0.3333333333333333,1
176,"[147.54308, -34.8928217585, 147.604684416, -34.8303889575]","Junee, New South Wales",0.07692307692307693,1
177,"[147.583965792, -37.8502737165, 147.664707424, -37.795380831]","Bairnsdale, Victoria",-0.00954433497536946,4
178,"[147.968875328, -29.439547214, 147.990043584, -29.415708817]","Lightning Ridge, New South Wales",-0.03225806451612903,1
