sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
105.9,"Wollongong - East",1,74.4,16499,7.8,8015,107041548,17.8,33.8,"New South Wales",8484
103.6,"Corowa Region",1,52.8,6986,18.7,3432,109031181,28.5,49.5,"New South Wales",3554
95.8,"Deniliquin",1,59.0,7625,17.1,3894,109031182,23.9,45.3,"New South Wales",3731
110.4,"Wollongong - West",1,72.5,18233,14.3,8665,107041549,13.2,31.4,"New South Wales",9568
102.9,"Bulahdelah - Stroud",1,58.6,4748,16.6,2340,108011151,24.8,50.4,"New South Wales",2408
90.7,"Forster",1,50.1,14830,14.6,7775,108011152,35.3,55.1,"New South Wales",7055
105.5,"Forster-Tuncurry Region",1,55.9,6457,15.8,3142,108011153,28.3,52.9,"New South Wales",3315
93.4,"Tuncurry",1,45.9,6391,11.0,3305,108011154,43.1,61.2,"New South Wales",3086
102.8,"Kempsey",1,59.8,15378,20.2,7584,108021155,20.0,40.4,"New South Wales",7794
107.5,"Kempsey Region",1,59.0,9126,16.6,4398,108021156,24.4,51.4,"New South Wales",4728
95.2,"Macksville - Scotts Head",1,56.1,5045,18.3,2584,108021157,25.6,48.0,"New South Wales",2461
88.3,"Nambucca Heads",1,49.5,6817,15.0,3621,108021158,35.5,56.2,"New South Wales",3196
103.8,"Nambucca Heads Region",1,59.1,7905,17.4,3878,108021159,23.5,49.7,"New South Wales",4027
99.0,"South West Rocks",1,49.3,5318,13.4,2673,108021160,37.3,57.8,"New South Wales",2645
86.5,"Lord Howe Island",1,65.9,416,17.8,223,108031161,16.3,41.3,"New South Wales",193
95.1,"Laurieton - Bonny Hills",1,50.8,18149,13.9,9304,108041162,35.3,56.0,"New South Wales",8845
92.6,"Port Macquarie - East",1,56.5,29253,18.0,15185,108041163,25.5,46.7,"New South Wales",14068
89.7,"Port Macquarie - West",1,55.0,19470,16.1,10263,108041164,28.9,46.9,"New South Wales",9207
108.4,"Port Macquarie Region",1,60.7,5461,17.8,2621,108041165,21.5,48.6,"New South Wales",2840
91.7,"Wauchope",1,57.5,12105,20.8,6316,108041166,21.7,43.1,"New South Wales",5789
98.0,"Gloucester",1,53.6,5172,15.7,2612,108051167,30.7,52.7,"New South Wales",2560
95.7,"Albury - North",1,63.5,10349,19.1,5287,109011173,17.4,38.8,"New South Wales",5062
96.7,"Albury - South",1,61.9,10524,16.1,5350,109011174,22.0,44.1,"New South Wales",5174
101.5,"Albury Region",1,58.5,12103,21.8,6007,109011175,19.7,44.0,"New South Wales",6096
91.0,"Lavington",1,60.8,15084,18.3,7899,109011176,20.9,40.5,"New South Wales",7185
100.0,"Hay",1,61.2,2974,17.9,1487,109021177,20.9,45.2,"New South Wales",1487
103.5,"Wentworth - Buronga",1,58.0,6164,20.7,3029,109021178,21.3,44.3,"New South Wales",3135
109.0,"Wentworth-Balranald Region",1,62.1,3655,20.1,1749,109021179,17.9,42.7,"New South Wales",1906
93.3,"Corowa",1,55.4,5427,15.5,2807,109031180,29.1,51.4,"New South Wales",2620
96.0,"Moree",1,61.5,8278,22.0,4223,110031195,16.6,37.9,"New South Wales",4055
104.2,"Moree Region",1,62.4,5531,24.9,2708,110031196,12.7,35.8,"New South Wales",2823
96.9,"Narrabri",1,60.9,7330,21.9,3722,110031197,17.3,37.7,"New South Wales",3608
104.0,"Narrabri Region",1,58.9,4844,22.8,2375,110031198,18.3,40.8,"New South Wales",2469
99.3,"Gunnedah",1,59.0,9618,22.7,4826,110041199,18.3,36.6,"New South Wales",4792
112.8,"Gunnedah Region",1,62.1,4024,19.1,1891,110041200,18.8,45.1,"New South Wales",2133
100.6,"Quirindi",1,57.8,7897,19.1,3936,110041201,23.1,45.7,"New South Wales",3961
99.7,"Tamworth - East",1,61.6,20956,19.2,10496,110041202,19.2,38.9,"New South Wales",10460
91.3,"Tamworth - North",1,61.7,16415,20.5,8583,110041203,17.8,35.8,"New South Wales",7832
97.6,"Tamworth - West",1,62.0,5817,26.7,2944,110041204,11.2,29.9,"New South Wales",2873
98.8,"Tamworth Region",1,58.4,19089,20.2,9602,110041205,21.4,44.4,"New South Wales",9487
96.8,"Belmont - Bennetts Green",1,60.1,18300,18.1,9298,111011206,21.8,42.9,"New South Wales",9002
94.5,"Belmont South - Blacksmiths",1,59.9,5688,15.4,2924,111011207,24.8,48.3,"New South Wales",2764
95.2,"Charlestown - Dudley",1,62.2,24814,19.7,12713,111011208,18.1,38.5,"New South Wales",12101
95.9,"Glendale - Cardiff - Hillsborough",1,63.3,24073,19.9,12290,111011209,16.8,38.1,"New South Wales",11783
89.3,"Mount Hutton - Windale",1,61.7,9173,20.2,4846,111011210,18.1,38.9,"New South Wales",4327
98.0,"Redhead",1,58.6,3593,18.3,1815,111011211,23.0,46.2,"New South Wales",1778
96.5,"Swansea - Caves Beach",1,56.3,12190,17.0,6204,111011212,26.6,48.6,"New South Wales",5986
98.0,"Valentine - Eleebana",1,58.9,12271,19.4,6198,111011213,21.7,45.3,"New South Wales",6073
91.3,"Warners Bay - Boolaroo",1,60.6,13824,17.3,7227,111011214,22.1,44.3,"New South Wales",6597
95.1,"Bolton Point - Teralba",1,61.8,8691,17.9,4454,111021215,20.3,43.1,"New South Wales",4237
94.6,"Bonnells Bay - Silverwater",1,58.3,9403,18.4,4831,111021216,23.3,43.8,"New South Wales",4572
97.4,"Griffith (NSW)",1,63.2,20399,20.2,10335,113011256,16.6,35.7,"New South Wales",10064
96.4,"Edgeworth - Cameron Park",1,63.8,15562,23.8,7925,111021217,12.4,34.4,"New South Wales",7637
95.9,"Morisset - Cooranbong",1,58.8,16259,17.2,8299,111021218,24.1,43.7,"New South Wales",7960
93.9,"Toronto - Awaba",1,57.4,13797,16.9,7115,111021219,25.7,46.6,"New South Wales",6682
101.7,"Wangi Wangi - Rathmines",1,57.4,9154,16.2,4539,111021220,26.4,48.8,"New South Wales",4615
96.9,"West Wallsend - Barnsley - Killingworth",1,64.8,6827,20.3,3467,111021221,15.0,38.0,"New South Wales",3360
110.5,"Griffith Region",1,63.4,13194,21.7,6269,113011257,15.0,39.1,"New South Wales",6925
97.3,"Leeton",1,61.3,10319,20.9,5230,113011258,17.9,37.8,"New South Wales",5089
97.2,"Narrandera",1,56.1,6083,21.2,3084,113011259,22.8,44.6,"New South Wales",2999
99.7,"Adamstown - Kotara",1,62.0,16069,20.6,8047,111031222,17.5,38.8,"New South Wales",8022
96.7,"Beresfield - Hexham",1,61.0,8490,18.8,4316,111031223,20.2,40.7,"New South Wales",4174
104.0,"Tumbarumba",1,58.8,3481,17.8,1706,113021260,23.4,46.6,"New South Wales",1775
94.5,"Tumut",1,59.6,6317,20.1,3247,113021261,20.3,41.7,"New South Wales",3070
110.2,"Tumut Region",1,58.1,4714,17.8,2243,113021262,24.2,47.5,"New South Wales",2471
99.7,"Cootamundra",1,54.3,7672,17.8,3841,113031263,27.9,48.5,"New South Wales",3831
104.4,"Gundagai",1,58.7,3622,19.2,1772,113031264,22.2,42.9,"New South Wales",1850
133.9,"Junee",1,65.9,6597,17.4,2821,113031265,16.7,39.7,"New South Wales",3776
99.5,"Temora",1,56.4,6955,18.4,3487,113031266,25.3,46.6,"New South Wales",3468
95.0,"Wagga Wagga - East",1,60.9,17093,21.1,8767,113031267,18.0,38.3,"New South Wales",8326
91.3,"Wagga Wagga - North",1,70.9,5168,18.9,2702,113031268,10.2,28.4,"New South Wales",2466
100.5,"Hamilton - Broadmeadow",1,67.9,12470,15.1,6219,111031224,17.0,39.6,"New South Wales",6251
97.3,"Waratah - North Lambton",1,70.0,12603,15.7,6387,111031234,14.3,33.9,"New South Wales",6216
99.5,"West Pennant Hills",1,65.7,13185,17.5,6609,115011296,16.7,41.3,"New South Wales",6576
94.4,"Lambton - New Lambton",1,64.0,17045,19.0,8766,111031225,16.9,40.1,"New South Wales",8279
99.5,"Maryland - Fletcher - Minmi",1,67.3,15605,23.1,7823,111031226,9.6,33.8,"New South Wales",7782
95.8,"Kingscliff - Fingal Head",1,59.6,15149,18.5,7738,112031250,21.9,44.8,"New South Wales",7411
89.9,"Murwillumbah",1,58.0,9449,20.0,4975,112031251,22.0,43.8,"New South Wales",4474
106.8,"Murwillumbah Region",1,61.2,9941,17.9,4807,112031252,20.9,48.8,"New South Wales",5134
96.6,"Pottsville",1,58.7,14176,21.9,7211,112031253,19.5,42.9,"New South Wales",6965
94.4,"Tweed Heads",1,57.3,20405,13.8,10498,112031254,28.9,49.3,"New South Wales",9907
89.7,"Banora Point",1,54.9,16114,15.5,8495,112031550,29.6,48.6,"New South Wales",7619
97.3,"Terranora - North Tumblegum",1,63.4,3394,19.8,1720,112031551,16.9,42.2,"New South Wales",1674
86.8,"Tweed Heads South",1,49.7,8373,14.9,4482,112031552,35.4,53.2,"New South Wales",3891
100.3,"Mayfield - Warabrook",1,68.4,15486,17.8,7731,111031227,13.9,35.8,"New South Wales",7755
102.3,"Merewether - The Junction",1,66.5,14305,17.3,7071,111031228,16.1,39.7,"New South Wales",7234
