median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1021,49,1000,"35760",200,0.8,1317,2.2,555
1331,23,1300,"35780",120,1.3,1287,3.5,604
977,26,2167,"35790",125,1.2,898,3.7,380
920,44,679,"35800",125,0.8,1268,2.2,529
1071,34,0,"36070",120,1.2,947,3.4,351
1312,42,850,"36150",140,0.8,1968,2.4,823
1767,43,1950,"36250",420,0.7,2131,2.6,786
1757,37,800,"36300",133,0.8,1929,2.6,918
1477,37,1400,"36370",280,0.8,1888,2.5,758
1410,46,1733,"36510",315,0.8,1706,2.6,661
1312,45,1500,"36580",300,0.8,1517,2.6,620
1045,48,1083,"36630",245,0.8,1337,2.3,542
1108,48,1300,"36660",255,0.7,1396,2.3,590
1595,43,1915,"36720",440,0.8,1920,2.5,755
1167,49,1352,"36820",260,0.8,1478,2.3,625
1461,39,1517,"36910",300,0.8,1847,2.5,743
2006,30,1791,"36950",200,1.2,1951,3.1,877
976,27,0,"36960",130,1.0,923,3.5,411
1701,36,1517,"37010",305,0.8,2082,2.5,864
1490,33,1020,"30900",125,1.0,1875,2.5,1006
2068,36,2019,"31000",408,0.8,2474,2.5,947
1625,36,696,"31750",153,0.9,1968,2.5,960
1157,47,1300,"31820",285,0.8,1427,2.4,594
1345,45,1220,"31900",222,0.8,1804,2.3,723
1312,35,477,"31950",150,1.0,2125,2.3,884
1578,39,1588,"32080",340,0.8,1950,2.5,809
1469,36,1128,"32250",173,1.1,1704,2.5,770
1204,46,1300,"32260",250,0.8,1475,2.3,647
2095,34,1500,"32270",250,0.8,2443,2.6,1011
1307,42,1300,"32310",220,0.8,1734,2.4,669
793,23,0,"32330",100,1.0,803,3.4,375
1879,34,1200,"32450",220,0.8,2321,2.5,1190
1159,42,1300,"32500",200,1.0,1494,2.3,669
1375,35,0,"32600",148,1.0,1937,2.7,819
2978,30,2063,"37300",500,1.0,3283,2.9,1558
1374,38,1300,"37310",240,0.8,1713,2.5,716
1472,40,1612,"37340",300,0.8,1856,2.4,795
1792,39,953,"32750",140,0.9,2187,2.1,1074
1563,41,1733,"41060",325,0.8,2072,2.4,786
1311,48,1207,"41140",240,0.7,1658,2.3,705
1223,25,737,"32770",120,1.5,882,4.2,354
1310,46,1517,"32810",310,0.8,1682,2.3,736
1145,46,758,"33100",160,1.0,1441,2.2,744
1343,42,758,"33200",160,0.8,1743,2.3,821
1062,51,1300,"33220",300,0.7,1293,2.3,533
1639,38,1600,"33360",275,0.8,2048,2.5,758
1691,39,1950,"33430",450,0.8,2010,2.5,787
1394,40,1300,"33610",250,0.8,1735,2.5,754
1115,48,1327,"33620",290,0.8,1359,2.4,554
1158,51,1170,"33800",200,0.7,1555,2.2,644
836,28,975,"33830",120,1.1,874,3.1,386
1668,33,1600,"33960",330,0.8,1936,2.8,795
2420,34,1213,"33980",113,0.8,2910,2.6,1314
1132,29,0,"34420",115,1.3,858,3.7,341
1625,43,1733,"34530",350,0.8,2008,2.5,765
1066,27,0,"34570",125,1.2,959,3.4,420
1457,39,1500,"34580",300,0.8,1684,2.7,665
1316,45,863,"37400",150,0.8,2048,2.1,882
684,23,0,"37550",120,1.2,707,3.3,361
840,29,0,"37570",70,1.2,833,3.2,332
1254,25,1392,"37600",150,1.5,911,4.5,337
1473,32,1733,"40070",400,0.9,2220,1.8,780
2067,44,1860,"40120",350,0.8,2416,2.7,892
1143,53,1400,"40220",280,0.7,1428,2.3,606
1266,28,0,"40250",85,1.4,739,4.0,324
1480,45,1458,"40310",295,0.7,1910,2.4,749
975,57,1042,"40430",208,0.7,1320,2.1,525
1169,46,1083,"40520",210,0.7,1485,2.3,637
2069,44,2300,"40700",360,0.8,2686,2.5,970
1590,40,1733,"40910",345,0.8,2058,2.5,758
1381,40,1247,"41010",200,0.8,1794,2.4,764
1110,46,877,"41190",165,0.7,1391,2.3,664
764,50,630,"41330",163,0.8,1380,1.8,498
997,54,1177,"41560",250,0.7,1300,2.2,551
1135,44,953,"41750",150,0.8,1480,2.3,682
1045,53,873,"41830",175,0.7,1489,2.1,634
1194,52,1040,"41960",200,0.7,1463,2.2,668
1324,41,1350,"42030",285,0.7,1728,2.3,701
916,51,867,"42110",190,0.7,1283,2.2,497
1747,45,1400,"42250",200,0.8,2039,2.6,811
1604,48,1950,"42600",340,0.8,2331,2.2,885
1128,50,1023,"42750",208,0.8,1501,2.2,672
912,50,542,"43080",160,0.7,1287,2.2,477
1282,42,860,"43220",150,0.7,1625,2.4,744
1184,53,1170,"43360",200,0.7,1497,2.1,676
1781,40,1500,"43650",280,0.8,2046,2.8,770
1557,44,1300,"43710",240,0.8,1905,2.5,809
1169,48,1083,"43790",204,0.7,1488,2.3,660
1312,44,0,"44000",50,1.3,725,2.3,343
1557,39,1699,"44060",330,0.8,2038,2.4,776
918,54,1083,"44210",201,0.7,1253,2.1,512
1996,42,1981,"44340",335,0.8,2518,2.6,891
1753,39,1602,"44550",350,0.8,2114,2.6,828
